-59.113655	1.000487	0.999513
-56.616096	0.999681	0.999681
-54.117321	1.000339	0.999661
-51.619343	0.999638	0.999638
-49.120518	0.999650	0.999650
-46.622597	0.579722	0.579722
-44.125549	0.724709	0.724709
-42.677956	1.379868	0.724707
-41.628872	0.725792	0.725792
-40.181274	1.377231	0.726095
-39.130619	0.725415	0.725415
-37.683624	1.378246	0.725560
-36.633953	0.605258	0.605258
-35.187248	0.199184	0.199184
-34.311619	8.301480	0.120460
-34.137207	0.604118	0.604118
-32.689331	0.198653	0.198653
-31.814644	0.849122	0.849122
-31.640884	8.817491	0.113411
-31.493341	0.672645	0.672645
-30.192383	0.198646	0.198646
-29.317299	0.842645	0.842645
-29.143467	4.115486	0.242985
-28.996988	1.158816	0.862949
-28.394157	1.253416	0.797820
-27.695587	0.197274	0.197274
-26.819988	0.848303	0.848303
-26.647255	4.116721	0.242912
-26.500725	1.155839	0.865173
-25.897501	0.319492	0.319492
-25.200272	2.935560	0.340651
-24.977512	0.267492	0.267492
-24.323589	0.818184	0.818184
-24.148670	4.223752	0.236756
-24.005554	1.152995	0.867306
-23.401068	0.318095	0.318095
-22.704098	2.951831	0.338773
-22.482395	0.276548	0.276548
-21.827967	0.751618	0.751618
-21.646986	2.866107	0.348905
-21.510958	0.554404	0.554404
-21.121086	3.220953	0.310467
-20.904940	0.317766	0.317766
-20.208742	2.958737	0.337982
