-59.113655	2.974051	2.759731	4.266241	6.805707
-56.616096	2.976051	2.761012	4.262932	9.403646
-54.117321	2.978180	2.762366	4.259470	12.001093
-51.619343	2.980415	2.763801	4.255807	14.598358
-49.120518	2.982770	2.765298	4.251877	17.195065
-46.622597	2.985278	2.766867	4.247707	19.791702
-44.125549	2.987997	2.768586	4.243358	22.387964
-42.677956	3.166109	3.017864	3.815921	5.453163
-41.628872	2.990921	2.770409	4.238669	24.983595
-40.181274	3.168831	3.019610	3.811572	8.050241
-39.130619	2.994009	2.772304	4.233622	27.578272
-37.683624	3.171690	3.021428	3.806828	10.646739
-36.633953	2.997401	2.774381	4.228213	30.171755
-35.187248	3.174792	3.023436	3.801767	13.242672
-34.311619	2.923979	2.696471	4.379461	4.832015
-34.137207	3.001078	2.776571	4.222361	32.765621
-32.689331	3.178151	3.025509	3.796259	15.838213
-31.814644	2.926846	2.698291	4.374773	7.430847
-31.640884	3.005079	2.778943	4.215979	35.354527
-31.493341	2.576544	2.127135	5.296299	4.680974
-30.192383	3.181828	3.027835	3.790311	18.432774
-29.317299	2.929993	2.700316	4.369687	10.037470
-29.143467	3.009370	2.781465	4.209128	37.930012
-28.996988	2.581905	2.128626	5.289408	7.275988
-28.394157	3.359474	3.276348	3.364155	4.272454
-27.695587	3.185847	3.030312	3.783803	21.026327
-26.819988	2.933525	2.702571	4.363859	12.661019
-26.647255	3.013999	2.784149	4.201863	40.478165
-26.500725	2.588015	2.130121	5.281876	9.870499
-25.897501	3.363203	3.278813	3.357991	6.868135
-25.200272	3.190376	3.032995	3.776668	23.618679
-24.977512	2.801604	2.449964	4.748377	4.114398
-24.323589	2.937666	2.705271	4.357001	15.321719
-24.148670	3.018903	2.786837	4.194255	42.936844
-24.005554	2.594764	2.131664	5.273551	12.463314
-23.401068	3.367338	3.281443	3.351171	9.463012
-22.704098	3.195357	3.035922	3.768667	26.208527
-22.482395	2.807807	2.451755	4.740454	6.708823
-21.827967	2.942894	2.708760	4.348318	18.051704
-21.646986	3.023729	2.789333	4.186965	45.266483
-21.510958	2.601994	2.133631	5.264334	15.054333
-21.121086	3.116141	2.954594	3.929201	3.739712
-20.904940	3.371963	3.284328	3.343644	12.056714
-20.208742	3.200970	3.039224	3.759731	28.795826
-19.987514	2.816027	2.452488	4.731483	9.301725
-19.332960	2.949274	2.713015	4.337673	20.814384
