-29.057442	58.109436	1.487496	1.380170	2.132367	3.802460
-26.558903	78.946938	1.489583	1.381516	2.128895	6.399958
-24.061043	114.761139	1.491932	1.383015	2.125031	8.997018
-21.563461	175.098267	1.494607	1.384704	2.120689	11.593200
-19.066004	200.956436	1.497659	1.386611	2.115727	14.188294
-16.568819	211.847855	1.501217	1.388768	2.109984	16.781797
-15.247816	46.326004	1.289344	1.064044	2.646604	2.739561
-14.072536	261.767578	1.505525	1.391212	2.103246	19.372690
-13.698006	48.601906	1.680458	1.638851	1.680676	2.535486
-12.751507	66.419853	1.295160	1.065700	2.639141	5.333982
-11.577147	306.363251	1.511011	1.393904	2.095078	21.960426
-11.201454	70.695793	1.684183	1.641832	1.673980	5.131259
-10.256805	102.558731	1.302909	1.067024	2.630076	7.925419
-9.082777	308.414215	1.518213	1.396956	2.084845	24.537781
-9.011134	39.956596	1.513661	1.387615	2.098729	2.195172
-8.705955	110.566696	1.688422	1.645805	1.665768	7.725514
-7.762585	153.968781	1.312062	1.069129	2.618798	10.513505
-6.704677	47.087658	1.439634	1.319246	2.241102	2.466439
-6.587931	346.416443	1.524431	1.397334	2.078217	26.662308
-6.516737	59.873241	1.522098	1.389602	2.088290	4.787377
-6.211675	164.537811	1.693409	1.651246	1.655346	10.317410
-5.270257	167.070419	1.322674	1.073103	2.604228	13.093788
-4.219098	83.161217	1.461647	1.336017	2.202333	7.033897
-4.087288	399.204834	1.519623	1.386883	2.093498	27.244825
-4.026284	95.233650	1.570656	1.364447	2.064899	7.285691
-3.886935	35.759972	1.696832	1.740230	1.562926	1.829192
-3.719473	176.662567	1.701183	1.657561	1.641258	12.901306
-2.780180	186.807388	1.336064	1.079993	2.583951	15.656383
-2.640300	33.876305	1.877281	1.900473	1.222234	1.611340
-1.750839	159.950119	1.502141	1.366214	2.131655	12.614139
-1.572045	370.215515	1.502252	1.365169	2.132588	26.798588
-1.540564	132.703049	1.638462	1.328827	2.032714	9.744281
-1.392986	56.996513	1.663850	1.777257	1.558896	4.531849
-1.230848	200.322937	1.713127	1.666538	1.620330	15.462571
-0.297265	238.471664	1.354720	1.094162	2.551115	18.157698
-0.150789	54.520927	1.889304	1.907528	1.203149	4.197018
